Fund_ID,Fund_Name,Category,NAV,AUM_Cr,5Y_CAGR,3Y_Rolling,Sharpe_3Y,Sortino_3Y,Alpha,Beta,Std_Dev,Max_DD,Recovery_Mo,Downside_Capture,Expense,Turnover,Concentration,Fund_House,Manager_Tenure,Manager_Record,AMC_Risk,ESG
LC001,Nippon India Large Cap Fund,Large Cap,85.5,35700,18.86,85,1.22,1.52,1.5,0.95,13.8,-14.2,9,65,0.66,32,38,Tier 1,8,Excellent,Good,Strong
LC002,ICICI Pru Bluechip Fund,Large Cap,120.4,63264,18.17,82,1.18,1.45,1.38,0.96,14.1,-15.1,10,68,0.91,35,42,Tier 1,9,Excellent,Excellent,Strong
LC003,Canara Robeco Bluechip,Large Cap,48.3,14799,17.42,80,1.25,1.48,1.82,0.92,13.5,-13.8,8,62,0.51,28,40,Tier 1,7,Good,Good,Moderate
LC004,Invesco India Largecap,Large Cap,78.2,1324,17.36,78,1.28,1.55,2.27,0.88,13.2,-13.5,8,60,0.75,30,39,Tier 2,6,Excellent,Good,Moderate
LC005,SBI Bluechip Fund,Large Cap,92.15,45000,16.8,83,1.2,1.48,1.65,0.94,13.9,-14.5,9,66,0.72,31,41,Tier 1,10,Excellent,Excellent,Strong
LC006,HDFC Top 100 Fund,Large Cap,850.25,38500,16.5,81,1.15,1.42,1.6,0.95,14.2,-15.5,10,68,0.85,35,42,Tier 1,8,Excellent,Excellent,Strong
LC007,Mirae Asset Large Cap,Large Cap,89.45,25800,16.8,84,1.25,1.52,2,0.91,13.2,-13.2,7,63,0.65,29,37,Tier 1,7,Good,Good,Strong
LC008,Axis Bluechip Fund,Large Cap,48.6,28500,15.8,79,1.18,1.38,1.7,0.94,13.9,-14.8,9,67,0.75,33,40,Tier 1,7,Good,Good,Moderate
LC009,Kotak Bluechip Fund,Large Cap,425.3,29000,15.5,77,1.12,1.35,1.6,0.97,14.5,-15.8,10,70,0.85,34,43,Tier 1,6,Good,Good,Moderate
LC010,UTI Mastershare Fund,Large Cap,185.7,18900,14.8,75,1.08,1.32,1.5,0.99,15,-16.2,11,72,0.95,36,44,Tier 1,8,Average,Average,Moderate
MC001,Quant Mid Cap Fund,Mid Cap,245.8,8891,32.1,75,1.15,1.42,2.8,1.08,18.5,-22.5,14,78,0.59,52,48,Tier 2,5,Excellent,Good,Moderate
MC002,HDFC Mid-Cap Opportunities,Mid Cap,168.5,65000,25.8,78,1.12,1.38,2.2,1.05,17.8,-21.2,13,75,0.98,48,46,Tier 1,9,Excellent,Excellent,Strong
MC003,Edelweiss Mid Cap Fund,Mid Cap,95.2,12500,24.5,76,1.18,1.45,2.5,1.03,17.2,-20.5,12,73,0.82,45,45,Tier 2,7,Good,Good,Moderate
MC004,Invesco India Mid Cap,Mid Cap,78.9,8200,24.2,77,1.2,1.48,2.6,1.02,16.8,-20,12,72,0.75,43,44,Tier 2,6,Good,Good,Moderate
MC005,Motilal Oswal Midcap Fund,Mid Cap,82.4,33609,23.9,74,1.1,1.35,3.7,1.06,18,-21.8,13,76,0.68,50,47,Tier 2,5,Excellent,Good,Moderate
MC006,Axis Midcap Fund,Mid Cap,68.5,22000,23.5,75,1.08,1.35,2.2,1.05,17.5,-21.5,13,75,0.88,49,46,Tier 1,6,Good,Good,Moderate
MC007,SBI Magnum Midcap Fund,Mid Cap,155.8,18500,22.8,73,1.05,1.3,2,1.07,18.2,-22,14,77,0.92,51,48,Tier 1,7,Good,Good,Moderate
MC008,PGIM India Midcap Opp,Mid Cap,42.3,11284,23.32,72,1.06,1.28,0.76,1.08,18.5,-22.8,14,79,0.46,48,47,Tier 2,5,Average,Average,Moderate
MC009,Kotak Emerging Equity,Mid Cap,88.7,28000,22.5,74,1.08,1.32,1.8,1.06,17.8,-21.8,13,76,0.95,50,47,Tier 1,8,Good,Good,Moderate
MC010,Nippon India Growth Fund,Mid Cap,3250.4,42000,22.2,73,1.05,1.3,1.6,1.07,18,-22.2,14,77,1.02,52,48,Tier 1,10,Good,Good,Moderate
SC001,Quant Small Cap Fund,Small Cap,278.59,12000,30.5,68,0.98,1.25,3.2,1.15,22.5,-28.5,18,85,0.72,65,55,Tier 2,5,Excellent,Good,Moderate
SC002,Bank of India Small Cap,Small Cap,194.23,8500,29.8,70,1.02,1.28,3,1.12,21.8,-27.5,17,83,0.68,62,54,Tier 2,4,Excellent,Average,Moderate
SC003,Nippon India Small Cap,Small Cap,168.5,65922,28.5,72,1.05,1.32,2.8,1.1,21.2,-26.8,16,82,0.85,60,52,Tier 1,7,Good,Good,Moderate
SC004,Axis Small Cap Fund,Small Cap,95.8,28000,27.8,71,1.08,1.35,2.6,1.08,20.8,-26.2,16,81,0.92,58,51,Tier 1,6,Good,Good,Moderate
SC005,HDFC Small Cap Fund,Small Cap,88.4,36353,27.2,69,1.06,1.3,2.4,1.09,21,-26.5,16,82,0.98,59,52,Tier 1,8,Good,Good,Moderate
SC006,Canara Robeco Small Cap,Small Cap,64.2,15500,26.8,68,1.04,1.28,2.2,1.1,21.5,-27,17,83,0.75,61,53,Tier 1,6,Good,Good,Moderate
SC007,SBI Small Cap Fund,Small Cap,132.7,32000,26.5,69,1.02,1.26,2,1.11,21.8,-27.2,17,84,0.88,62,54,Tier 1,7,Good,Good,Moderate
SC008,Kotak Small Cap Fund,Small Cap,245.3,25000,25.8,67,0.98,1.22,1.8,1.12,22.2,-28,18,85,0.95,64,55,Tier 1,6,Average,Good,Moderate
SC009,Tata Small Cap Fund,Small Cap,38.5,18000,25.5,68,1,1.24,1.6,1.13,22,-27.8,17,84,0.82,63,54,Tier 2,5,Average,Average,Moderate
SC010,Franklin India Smaller,Small Cap,125.8,12500,24.8,66,0.95,1.18,1.4,1.14,22.5,-28.5,18,86,0.92,65,56,Tier 2,7,Average,Average,Weak
FC001,Parag Parikh Flexi Cap,Flexi-Cap,68.5,85000,24.5,82,1.25,1.55,2.8,0.92,15.2,-17.5,11,70,0.85,38,42,Tier 1,9,Excellent,Excellent,Strong
FC002,Quant Flexi Cap Fund,Flexi-Cap,145.8,22000,28.2,78,1.18,1.48,3.2,0.98,16.8,-20.2,13,75,0.62,45,46,Tier 2,6,Excellent,Good,Moderate
FC003,JM Flexicap Fund,Flexi-Cap,85.2,8500,22.8,76,1.12,1.38,2.2,0.95,16.2,-18.8,12,72,0.78,42,44,Tier 2,5,Good,Average,Moderate
FC004,HDFC Flexi Cap Fund,Flexi-Cap,1250.4,72000,21.5,80,1.2,1.45,2,0.94,15.5,-17.8,11,71,0.95,40,43,Tier 1,10,Excellent,Excellent,Strong
FC005,Canara Robeco Flexi Cap,Flexi-Cap,95.7,28000,21.2,79,1.18,1.42,1.9,0.93,15.8,-18.2,12,72,0.68,41,44,Tier 1,7,Good,Good,Strong
FC006,Axis Flexi Cap Fund,Flexi-Cap,48.9,18500,20.8,77,1.15,1.38,1.8,0.96,16,-18.5,12,73,0.85,42,45,Tier 1,6,Good,Good,Moderate
FC007,SBI Flexi Cap Fund,Flexi-Cap,88.3,35000,20.5,78,1.12,1.35,1.7,0.97,16.2,-18.8,12,74,0.92,43,45,Tier 1,8,Good,Good,Moderate
